PLAYERS,TEAM,POS,AGE,GP,G,A,PTS,PPG,CAP %,CAPHIT,CPP
"Lankinen, Kevin",VAN,G,31,47,0,2,0,0.0,0.0471,4500000,4500000.0
"Lehkonen, Artturi",COL,LW,30,70,21,27,48,0.69,0.0471,4500000,93750.0
"Lindgren, Ryan",SEA,LD,28,76,2,7,9,0.12,0.0471,4500000,500000.0
"Manson, Josh",COL,"LD, RD",34,79,5,26,31,0.39,0.0471,4500000,145161.29032258064
"Marchment, Mason",CBJ,LW,30,29,4,9,13,0.45,0.0471,4500000,346153.8461538461
"O'Reilly, Ryan",NSH,C,35,81,25,49,74,0.91,0.0471,4500000,60810.81081081081
"Tanev, Chris",TOR,RD,36,11,0,2,2,0.18,0.0471,4500000,2250000.0
"McCabe, Jake",TOR,"LD, RD",32,80,5,20,25,0.31,0.047,4491898,179675.92
"Chytil, Filip",VAN,"C, LW",26,12,3,0,3,0.25,0.0465,4437500,1479166.6666666667
"Marino, John",UTA,RD,29,80,4,32,36,0.45,0.0461,4400000,122222.22222222222
"Murphy, Connor",EDM,RD,33,60,4,9,13,0.22,0.0461,4400000,338461.53846153844
"Tavares, John",TOR,C,35,82,31,40,71,0.87,0.0459,4380000,61690.140845070426
"Frost, Morgan",CGY,C,27,82,22,21,43,0.52,0.0458,4375000,101744.18604651163
"Middleton, Jake",MIN,LD,30,75,2,14,16,0.21,0.0455,4350000,271875.0
"Crouse, Lawson",UTA,"RW, LW",28,81,24,20,44,0.54,0.045,4300000,97727.27272727272
"Kuzmenko, Andrei",LAK,"LW, RW",30,52,13,12,25,0.48,0.045,4300000,172000.0
"Samuelsson, Mattias",BUF,"LD, RD",26,78,13,28,41,0.53,0.0449,4285714,104529.60975609756
"Zetterlund, Fabian",OTT,"RW, LW",26,82,17,16,33,0.4,0.0448,4275000,129545.45454545454
"Dickinson, Jason",EDM,C,30,47,6,7,13,0.28,0.0445,4250000,326923.07692307694
"McBain, Jack",UTA,"C, LW",26,75,9,16,25,0.33,0.0445,4250000,170000.0
"Mrazek, Petr",ANA,G,34,10,0,0,0,0.0,0.0445,4250000,4250000.0
"Moore, Trevor",LAK,"LW, RW",31,69,13,19,32,0.46,0.044,4200000,131250.0
"Voronkov, Dmitri",CBJ,LW,25,63,17,15,32,0.51,0.0437,4175000,130468.75
"Anderson, Mikey",LAK,LD,26,80,4,16,20,0.25,0.0432,4125000,206250.0
"Fabbro, Dante",CBJ,"RD, LD",27,74,5,6,11,0.15,0.0432,4125000,375000.0
"Suter, Pius",STL,"C, LW",29,64,13,16,29,0.45,0.0432,4125000,142241.37931034484
"Zuccarello, Mats",MIN,RW,38,59,15,39,54,0.92,0.0432,4125000,76388.88888888889
"Borgen, Will",NYR,RD,29,75,5,10,15,0.2,0.0429,4100000,273333.3333333333
"Carlo, Brandon",TOR,RD,29,55,0,7,7,0.13,0.0429,4100000,585714.2857142857
"Laferriere, Alex",LAK,"RW, C, LW",24,82,21,23,44,0.54,0.0429,4100000,93181.81818181818
"Jensen, Nick",OTT,RD,35,61,4,13,17,0.28,0.0424,4050000,238235.29411764705
"Arvidsson, Viktor",BOS,"RW, LW",33,69,25,29,54,0.78,0.0419,4000000,74074.07407407407
"Cates, Noah",PHI,"C, LW",27,82,18,29,47,0.57,0.0419,4000000,85106.3829787234
"Colton, Ross",COL,"LW, RW, C",29,73,9,15,24,0.33,0.0419,4000000,166666.66666666666
"Dillon, Brenden",NJD,LD,35,82,3,12,15,0.18,0.0419,4000000,266666.6666666667
"Donato, Ryan",CHI,"LW, C, RW",30,82,15,15,30,0.37,0.0419,4000000,133333.33333333334
"Drouin, Jonathan",STL,"LW, RW",31,55,3,18,21,0.38,0.0419,4000000,190476.19047619047
"Dumoulin, Brian",LAK,LD,34,82,2,15,17,0.21,0.0419,4000000,235294.11764705883
"Foligno, Marcus",MIN,"LW, RW",34,56,8,5,13,0.23,0.0419,4000000,307692.3076923077
"Greenway, Jordan",BUF,LW,29,40,1,5,6,0.15,0.0419,4000000,666666.6666666666
