PLAYERS,TEAM,POS,AGE,GP,G,A,PTS,PPG,CAP %,CAPHIT,CPP
"Draisaitl, Leon",EDM,"C, LW",30,65,35,62,97,1.49,0.1466,14000000,144329.8969072165
"Matthews, Auston",TOR,C,28,60,27,26,53,0.88,0.1387,13250000,250000.0
"MacKinnon, Nathan",COL,C,30,80,53,74,127,1.59,0.1319,12600000,99212.59842519685
"McDavid, Connor",EDM,C,29,82,48,90,138,1.68,0.1309,12500000,90579.71014492754
"Marner, Mitch",VGK,"C, RW, LW",29,81,24,56,80,0.99,0.1257,12000000,150000.0
"Rantanen, Mikko",DAL,RW,29,64,22,55,77,1.2,0.1257,12000000,155844.15584415584
"Panarin, Artemi",LAK,LW,34,52,19,38,57,1.1,0.1219,11642857,204260.64912280702
"Pettersson, Elias",VAN,C,27,74,15,36,51,0.69,0.1215,11600000,227450.98039215687
"Shesterkin, Igor",NYR,G,30,51,0,0,0,0.0,0.1205,11503125,11503125.0
"Karlsson, Erik",PIT,RD,35,75,15,51,66,0.88,0.1204,11500000,174242.42424242425
"Nylander, William",TOR,RW,30,65,30,49,79,1.22,0.1204,11500000,145569.62025316455
"Pastrnak, David",BOS,RW,29,77,29,71,100,1.3,0.1178,11250000,112500.0
"Dahlin, Rasmus",BUF,"RD, LD",26,77,19,55,74,0.96,0.1152,11000000,148648.64864864864
"Doughty, Drew",LAK,RD,36,72,5,18,23,0.32,0.1152,11000000,478260.8695652174
"Bouchard, Evan",EDM,RD,26,82,21,74,95,1.16,0.1099,10500000,110526.31578947368
"Huberdeau, Jonathan",CGY,LW,32,50,10,15,25,0.5,0.1099,10500000,420000.0
"Price, Carey",SJS,G,38,0,0,0,0,0.0,0.1099,10500000,10500000.0
"Barkov, Aleksander",FLA,C,30,0,0,0,0,0.0,0.1047,10000000,10000000.0
"Bobrovsky, Sergei",FLA,G,37,52,0,2,0,0.0,0.1047,10000000,10000000.0
"Eichel, Jack",VGK,C,29,74,27,63,90,1.22,0.1047,10000000,111111.11111111111
"Seguin, Tyler",DAL,"RW, C, LW",34,27,7,10,17,0.63,0.1031,9850000,579411.7647058824
"Aho, Sebastian",CAR,C,28,79,27,53,80,1.01,0.1021,9750000,121875.0
"Werenski, Zach",CBJ,LD,28,75,22,59,81,1.08,0.1003,9583333,118312.75308641975
"Dobson, Noah",MTL,RD,26,80,12,35,47,0.59,0.0995,9500000,202127.6595744681
"Fox, Adam",NYR,RD,28,55,9,44,53,0.96,0.0995,9500000,179245.28301886792
"Jones, Seth",FLA,RD,31,52,7,25,32,0.62,0.0995,9500000,296875.0
"Kucherov, Nikita",TBL,RW,32,76,44,86,130,1.71,0.0995,9500000,73076.92307692308
"McAvoy, Charlie",BOS,RD,28,69,11,50,61,0.88,0.0995,9500000,155737.70491803277
"Ovechkin, Alex",WSH,"LW, RW",40,82,32,32,64,0.78,0.0995,9500000,148437.5
"Point, Brayden",TBL,C,30,63,18,32,50,0.79,0.0995,9500000,190000.0
"Stone, Mark",VGK,RW,34,60,28,45,73,1.22,0.0995,9500000,130136.98630136986
"Tkachuk, Matthew",FLA,"RW, LW",28,31,13,21,34,1.1,0.0995,9500000,279411.76470588235
"Vasilevskiy, Andrei",TBL,G,31,58,0,2,0,0.0,0.0995,9500000,9500000.0
"Nurse, Darnell",EDM,LD,31,82,7,17,24,0.29,0.0969,9250000,385416.6666666667
"Barzal, Mathew",NYI,"C, RW",28,81,19,53,72,0.89,0.0958,9150000,127083.33333333333
"Josi, Roman",NSH,"RD, LD",35,68,13,42,55,0.81,0.0949,9059000,164709.0909090909
"Chychrun, Jakob",WSH,LD,28,80,26,34,60,0.75,0.0942,9000000,150000.0
"Guentzel, Jake",TBL,"LW, RW, C",31,81,38,50,88,1.09,0.0942,9000000,102272.72727272728
"Hamilton, Dougie",NJD,RD,32,77,12,27,39,0.51,0.0942,9000000,230769.23076923078
"Hughes, Luke",NJD,"LD, RD",22,68,6,29,35,0.51,0.0942,9000000,257142.85714285713
"Kaprizov, Kirill",MIN,LW,29,78,45,44,89,1.14,0.0942,9000000,101123.59550561798
"Makar, Cale",COL,RD,27,75,20,59,79,1.05,0.0942,9000000,113924.0506329114
"Meier, Timo",NJD,"LW, RW",29,77,24,20,44,0.57,0.0921,8800000,200000.0
"Pietrangelo, Alex",VGK,RD,36,0,0,0,0,0.0,0.0921,8800000,8800000.0
"Konecny, Travis",PHI,"RW, LW",29,77,27,41,68,0.88,0.0916,8750000,128676.4705882353
"Crosby, Sidney",PIT,C,38,68,29,45,74,1.09,0.0911,8700000,117567.56756756757
